time,ongoing_trips,date_snapshot
2025-02-18 00:00:00,0,20250218
2025-02-18 01:00:00,1,20250218
2025-02-18 02:00:00,0,20250218
2025-02-18 03:00:00,0,20250218
2025-02-18 04:00:00,0,20250218
2025-02-18 05:00:00,60,20250218
2025-02-18 06:00:00,204,20250218
2025-02-18 07:00:00,316,20250218
2025-02-18 08:00:00,324,20250218
2025-02-18 09:00:00,269,20250218
2025-02-18 10:00:00,269,20250218
2025-02-18 11:00:00,266,20250218
2025-02-18 12:00:00,265,20250218
2025-02-18 13:00:00,268,20250218
2025-02-18 14:00:00,272,20250218
2025-02-18 15:00:00,269,20250218
2025-02-18 16:00:00,285,20250218
2025-02-18 17:00:00,337,20250218
2025-02-18 18:00:00,322,20250218
2025-02-18 19:00:00,282,20250218
2025-02-18 20:00:00,260,20250218
2025-02-18 21:00:00,238,20250218
2025-02-18 22:00:00,204,20250218
2025-02-18 23:00:00,135,20250218
2025-02-19 00:00:00,44,20250218
2025-02-19 01:00:00,6,20250218
2025-02-19 02:00:00,0,20250218
2025-02-19 03:00:00,0,20250218
2025-02-19 04:00:00,0,20250218
2025-02-19 05:00:00,60,20250218
2025-02-19 06:00:00,204,20250218
2025-02-19 07:00:00,315,20250218
2025-02-19 08:00:00,323,20250218
2025-02-19 09:00:00,271,20250218
2025-02-19 10:00:00,271,20250218
2025-02-19 11:00:00,268,20250218
2025-02-19 12:00:00,266,20250218
2025-02-19 13:00:00,275,20250218
2025-02-19 14:00:00,272,20250218
2025-02-19 15:00:00,268,20250218
2025-02-19 16:00:00,285,20250218
2025-02-19 17:00:00,338,20250218
2025-02-19 18:00:00,323,20250218
2025-02-19 19:00:00,282,20250218
2025-02-19 20:00:00,261,20250218
2025-02-19 21:00:00,238,20250218
2025-02-19 22:00:00,204,20250218
2025-02-19 23:00:00,135,20250218
2025-02-20 00:00:00,44,20250218
2025-02-20 01:00:00,6,20250218
2025-02-20 02:00:00,0,20250218
2025-02-20 03:00:00,0,20250218
2025-02-20 04:00:00,0,20250218
2025-02-20 05:00:00,60,20250218
2025-02-20 06:00:00,204,20250218
2025-02-20 07:00:00,317,20250218
2025-02-20 08:00:00,325,20250218
2025-02-20 09:00:00,270,20250218
2025-02-20 10:00:00,270,20250218
2025-02-20 11:00:00,267,20250218
2025-02-20 12:00:00,266,20250218
2025-02-20 13:00:00,269,20250218
2025-02-20 14:00:00,273,20250218
2025-02-20 15:00:00,269,20250218
2025-02-20 16:00:00,284,20250218
2025-02-20 17:00:00,336,20250218
2025-02-20 18:00:00,322,20250218
2025-02-20 19:00:00,282,20250218
2025-02-20 20:00:00,260,20250218
2025-02-20 21:00:00,238,20250218
2025-02-20 22:00:00,204,20250218
2025-02-20 23:00:00,135,20250218
2025-02-21 00:00:00,44,20250218
2025-02-21 01:00:00,6,20250218
2025-02-21 02:00:00,0,20250218
2025-02-21 03:00:00,0,20250218
2025-02-21 04:00:00,0,20250218
2025-02-21 05:00:00,60,20250218
2025-02-21 06:00:00,204,20250218
2025-02-21 07:00:00,317,20250218
2025-02-21 08:00:00,325,20250218
2025-02-21 09:00:00,271,20250218
2025-02-21 10:00:00,271,20250218
2025-02-21 11:00:00,268,20250218
2025-02-21 12:00:00,267,20250218
2025-02-21 13:00:00,270,20250218
2025-02-21 14:00:00,273,20250218
2025-02-21 15:00:00,269,20250218
2025-02-21 16:00:00,286,20250218
2025-02-21 17:00:00,336,20250218
2025-02-21 18:00:00,321,20250218
2025-02-21 19:00:00,282,20250218
2025-02-21 20:00:00,261,20250218
2025-02-21 21:00:00,238,20250218
2025-02-21 22:00:00,204,20250218
2025-02-21 23:00:00,135,20250218
2025-02-22 00:00:00,42,20250218
2025-02-22 01:00:00,4,20250218
2025-02-22 02:00:00,0,20250218
2025-02-22 03:00:00,0,20250218
2025-02-22 04:00:00,0,20250218
2025-02-22 05:00:00,9,20250218
2025-02-22 06:00:00,39,20250218
2025-02-22 07:00:00,117,20250218
2025-02-22 08:00:00,147,20250218
2025-02-22 09:00:00,159,20250218
2025-02-22 10:00:00,153,20250218
2025-02-22 11:00:00,161,20250218
2025-02-22 12:00:00,155,20250218
2025-02-22 13:00:00,161,20250218
2025-02-22 14:00:00,156,20250218
2025-02-22 15:00:00,161,20250218
2025-02-22 16:00:00,155,20250218
2025-02-22 17:00:00,162,20250218
2025-02-22 18:00:00,156,20250218
2025-02-22 19:00:00,162,20250218
2025-02-22 20:00:00,153,20250218
2025-02-22 21:00:00,156,20250218
2025-02-22 22:00:00,136,20250218
2025-02-22 23:00:00,98,20250218
2025-02-23 00:00:00,36,20250218
2025-02-23 01:00:00,5,20250218
2025-02-23 02:00:00,1,20250218
2025-02-23 03:00:00,0,20250218
2025-02-23 04:00:00,0,20250218
2025-02-23 05:00:00,9,20250218
2025-02-23 06:00:00,39,20250218
2025-02-23 07:00:00,113,20250218
2025-02-23 08:00:00,140,20250218
2025-02-23 09:00:00,152,20250218
2025-02-23 10:00:00,146,20250218
2025-02-23 11:00:00,153,20250218
2025-02-23 12:00:00,146,20250218
2025-02-23 13:00:00,153,20250218
2025-02-23 14:00:00,148,20250218
2025-02-23 15:00:00,153,20250218
2025-02-23 16:00:00,147,20250218
2025-02-23 17:00:00,153,20250218
2025-02-23 18:00:00,149,20250218
2025-02-23 19:00:00,157,20250218
2025-02-23 20:00:00,157,20250218
2025-02-23 21:00:00,159,20250218
2025-02-23 22:00:00,133,20250218
2025-02-23 23:00:00,95,20250218
2025-02-24 00:00:00,36,20250218
2025-02-24 01:00:00,5,20250218
2025-02-24 02:00:00,1,20250218
2025-02-24 03:00:00,0,20250218
2025-02-24 04:00:00,0,20250218
2025-02-24 05:00:00,59,20250218
2025-02-24 06:00:00,204,20250218
2025-02-24 07:00:00,317,20250218
2025-02-24 08:00:00,325,20250218
2025-02-24 09:00:00,268,20250218
2025-02-24 10:00:00,267,20250218
2025-02-24 11:00:00,263,20250218
2025-02-24 12:00:00,262,20250218
2025-02-24 13:00:00,267,20250218
2025-02-24 14:00:00,270,20250218
2025-02-24 15:00:00,265,20250218
2025-02-24 16:00:00,283,20250218
2025-02-24 17:00:00,337,20250218
2025-02-24 18:00:00,321,20250218
2025-02-24 19:00:00,280,20250218
2025-02-24 20:00:00,259,20250218
2025-02-24 21:00:00,236,20250218
2025-02-24 22:00:00,202,20250218
2025-02-24 23:00:00,134,20250218
2025-02-25 00:00:00,42,20250218
2025-02-25 01:00:00,5,20250218
2025-02-25 02:00:00,0,20250218
2025-02-25 03:00:00,0,20250218
2025-02-25 04:00:00,0,20250218
2025-02-25 05:00:00,60,20250218
2025-02-25 06:00:00,204,20250218
2025-02-25 07:00:00,317,20250218
2025-02-25 08:00:00,325,20250218
2025-02-25 09:00:00,267,20250218
2025-02-25 10:00:00,266,20250218
2025-02-25 11:00:00,261,20250218
2025-02-25 12:00:00,260,20250218
2025-02-25 13:00:00,265,20250218
2025-02-25 14:00:00,269,20250218
2025-02-25 15:00:00,265,20250218
2025-02-25 16:00:00,283,20250218
2025-02-25 17:00:00,337,20250218
2025-02-25 18:00:00,321,20250218
2025-02-25 19:00:00,280,20250218
2025-02-25 20:00:00,258,20250218
2025-02-25 21:00:00,236,20250218
2025-02-25 22:00:00,202,20250218
2025-02-25 23:00:00,134,20250218
2025-02-26 00:00:00,42,20250218
2025-02-26 01:00:00,5,20250218
2025-02-26 02:00:00,0,20250218
2025-02-26 03:00:00,0,20250218
2025-02-26 04:00:00,0,20250218
2025-02-26 05:00:00,60,20250218
2025-02-26 06:00:00,204,20250218
2025-02-26 07:00:00,319,20250218
2025-02-26 08:00:00,325,20250218
2025-02-26 09:00:00,268,20250218
2025-02-26 10:00:00,266,20250218
2025-02-26 11:00:00,262,20250218
2025-02-26 12:00:00,262,20250218
2025-02-26 13:00:00,274,20250218
2025-02-26 14:00:00,270,20250218
2025-02-26 15:00:00,265,20250218
2025-02-26 16:00:00,283,20250218
2025-02-26 17:00:00,339,20250218
2025-02-26 18:00:00,321,20250218
2025-02-26 19:00:00,280,20250218
2025-02-26 20:00:00,259,20250218
2025-02-26 21:00:00,236,20250218
2025-02-26 22:00:00,202,20250218
2025-02-26 23:00:00,134,20250218
2025-02-27 00:00:00,42,20250218
2025-02-27 01:00:00,4,20250218
2025-02-27 02:00:00,0,20250218
2025-02-19 00:00:00,0,20250219
2025-02-19 01:00:00,1,20250219
2025-02-19 02:00:00,0,20250219
2025-02-19 03:00:00,0,20250219
2025-02-19 04:00:00,0,20250219
2025-02-19 05:00:00,60,20250219
2025-02-19 06:00:00,204,20250219
2025-02-19 07:00:00,316,20250219
2025-02-19 08:00:00,324,20250219
2025-02-19 09:00:00,270,20250219
2025-02-19 10:00:00,271,20250219
2025-02-19 11:00:00,269,20250219
2025-02-19 12:00:00,266,20250219
2025-02-19 13:00:00,275,20250219
2025-02-19 14:00:00,272,20250219
2025-02-19 15:00:00,268,20250219
2025-02-19 16:00:00,285,20250219
2025-02-19 17:00:00,338,20250219
2025-02-19 18:00:00,323,20250219
2025-02-19 19:00:00,282,20250219
2025-02-19 20:00:00,261,20250219
2025-02-19 21:00:00,238,20250219
2025-02-19 22:00:00,204,20250219
2025-02-19 23:00:00,135,20250219
2025-02-20 00:00:00,44,20250219
2025-02-20 01:00:00,6,20250219
2025-02-20 02:00:00,0,20250219
2025-02-20 03:00:00,0,20250219
2025-02-20 04:00:00,0,20250219
2025-02-20 05:00:00,60,20250219
2025-02-20 06:00:00,204,20250219
2025-02-20 07:00:00,318,20250219
2025-02-20 08:00:00,326,20250219
2025-02-20 09:00:00,270,20250219
2025-02-20 10:00:00,270,20250219
2025-02-20 11:00:00,267,20250219
2025-02-20 12:00:00,266,20250219
2025-02-20 13:00:00,269,20250219
2025-02-20 14:00:00,273,20250219
2025-02-20 15:00:00,269,20250219
2025-02-20 16:00:00,284,20250219
2025-02-20 17:00:00,336,20250219
2025-02-20 18:00:00,322,20250219
2025-02-20 19:00:00,282,20250219
2025-02-20 20:00:00,260,20250219
2025-02-20 21:00:00,238,20250219
2025-02-20 22:00:00,204,20250219
2025-02-20 23:00:00,135,20250219
2025-02-21 00:00:00,44,20250219
2025-02-21 01:00:00,6,20250219
2025-02-21 02:00:00,0,20250219
2025-02-21 03:00:00,0,20250219
2025-02-21 04:00:00,0,20250219
2025-02-21 05:00:00,60,20250219
2025-02-21 06:00:00,204,20250219
2025-02-21 07:00:00,318,20250219
2025-02-21 08:00:00,326,20250219
2025-02-21 09:00:00,271,20250219
2025-02-21 10:00:00,271,20250219
2025-02-21 11:00:00,268,20250219
2025-02-21 12:00:00,267,20250219
2025-02-21 13:00:00,270,20250219
2025-02-21 14:00:00,273,20250219
2025-02-21 15:00:00,269,20250219
2025-02-21 16:00:00,286,20250219
2025-02-21 17:00:00,336,20250219
2025-02-21 18:00:00,321,20250219
2025-02-21 19:00:00,282,20250219
2025-02-21 20:00:00,261,20250219
2025-02-21 21:00:00,238,20250219
2025-02-21 22:00:00,204,20250219
2025-02-21 23:00:00,135,20250219
2025-02-22 00:00:00,42,20250219
2025-02-22 01:00:00,3,20250219
2025-02-22 02:00:00,0,20250219
2025-02-22 03:00:00,0,20250219
2025-02-22 04:00:00,0,20250219
2025-02-22 05:00:00,7,20250219
2025-02-22 06:00:00,25,20250219
2025-02-22 07:00:00,93,20250219
2025-02-22 08:00:00,119,20250219
2025-02-22 09:00:00,140,20250219
2025-02-22 10:00:00,131,20250219
2025-02-22 11:00:00,129,20250219
2025-02-22 12:00:00,116,20250219
2025-02-22 13:00:00,93,20250219
2025-02-22 14:00:00,77,20250219
2025-02-22 15:00:00,89,20250219
2025-02-22 16:00:00,107,20250219
2025-02-22 17:00:00,126,20250219
2025-02-22 18:00:00,128,20250219
2025-02-22 19:00:00,141,20250219
2025-02-22 20:00:00,127,20250219
2025-02-22 21:00:00,126,20250219
2025-02-22 22:00:00,77,20250219
2025-02-22 23:00:00,43,20250219
2025-02-23 00:00:00,12,20250219
2025-02-23 01:00:00,0,20250219
2025-02-23 02:00:00,0,20250219
2025-02-23 03:00:00,0,20250219
2025-02-23 04:00:00,0,20250219
2025-02-23 05:00:00,7,20250219
2025-02-23 06:00:00,25,20250219
2025-02-23 07:00:00,92,20250219
2025-02-23 08:00:00,119,20250219
2025-02-23 09:00:00,139,20250219
2025-02-23 10:00:00,130,20250219
2025-02-23 11:00:00,126,20250219
2025-02-23 12:00:00,113,20250219
2025-02-23 13:00:00,91,20250219
2025-02-23 14:00:00,76,20250219
2025-02-23 15:00:00,87,20250219
2025-02-23 16:00:00,106,20250219
2025-02-23 17:00:00,126,20250219
2025-02-23 18:00:00,128,20250219
2025-02-23 19:00:00,137,20250219
2025-02-23 20:00:00,128,20250219
2025-02-23 21:00:00,125,20250219
2025-02-23 22:00:00,78,20250219
2025-02-23 23:00:00,45,20250219
2025-02-24 00:00:00,12,20250219
2025-02-24 01:00:00,0,20250219
2025-02-24 02:00:00,0,20250219
2025-02-24 03:00:00,0,20250219
2025-02-24 04:00:00,0,20250219
2025-02-24 05:00:00,59,20250219
2025-02-24 06:00:00,204,20250219
2025-02-24 07:00:00,317,20250219
2025-02-24 08:00:00,325,20250219
2025-02-24 09:00:00,268,20250219
2025-02-24 10:00:00,267,20250219
2025-02-24 11:00:00,262,20250219
2025-02-24 12:00:00,262,20250219
2025-02-24 13:00:00,267,20250219
2025-02-24 14:00:00,270,20250219
2025-02-24 15:00:00,265,20250219
2025-02-24 16:00:00,283,20250219
2025-02-24 17:00:00,337,20250219
2025-02-24 18:00:00,321,20250219
2025-02-24 19:00:00,280,20250219
2025-02-24 20:00:00,259,20250219
2025-02-24 21:00:00,236,20250219
2025-02-24 22:00:00,202,20250219
2025-02-24 23:00:00,134,20250219
2025-02-25 00:00:00,42,20250219
2025-02-25 01:00:00,5,20250219
2025-02-25 02:00:00,0,20250219
2025-02-25 03:00:00,0,20250219
2025-02-25 04:00:00,0,20250219
2025-02-25 05:00:00,60,20250219
2025-02-25 06:00:00,204,20250219
2025-02-25 07:00:00,317,20250219
2025-02-25 08:00:00,325,20250219
2025-02-25 09:00:00,267,20250219
2025-02-25 10:00:00,266,20250219
2025-02-25 11:00:00,260,20250219
2025-02-25 12:00:00,260,20250219
2025-02-25 13:00:00,265,20250219
2025-02-25 14:00:00,269,20250219
2025-02-25 15:00:00,265,20250219
2025-02-25 16:00:00,283,20250219
2025-02-25 17:00:00,337,20250219
2025-02-25 18:00:00,321,20250219
2025-02-25 19:00:00,280,20250219
2025-02-25 20:00:00,258,20250219
2025-02-25 21:00:00,236,20250219
2025-02-25 22:00:00,202,20250219
2025-02-25 23:00:00,134,20250219
2025-02-26 00:00:00,42,20250219
2025-02-26 01:00:00,5,20250219
2025-02-26 02:00:00,0,20250219
2025-02-26 03:00:00,0,20250219
2025-02-26 04:00:00,0,20250219
2025-02-26 05:00:00,60,20250219
2025-02-26 06:00:00,204,20250219
2025-02-26 07:00:00,319,20250219
2025-02-26 08:00:00,325,20250219
2025-02-26 09:00:00,268,20250219
2025-02-26 10:00:00,266,20250219
2025-02-26 11:00:00,261,20250219
2025-02-26 12:00:00,262,20250219
2025-02-26 13:00:00,274,20250219
2025-02-26 14:00:00,270,20250219
2025-02-26 15:00:00,265,20250219
2025-02-26 16:00:00,283,20250219
2025-02-26 17:00:00,339,20250219
2025-02-26 18:00:00,321,20250219
2025-02-26 19:00:00,280,20250219
2025-02-26 20:00:00,259,20250219
2025-02-26 21:00:00,236,20250219
2025-02-26 22:00:00,202,20250219
2025-02-26 23:00:00,134,20250219
2025-02-27 00:00:00,42,20250219
2025-02-27 01:00:00,5,20250219
2025-02-27 02:00:00,0,20250219
2025-02-27 03:00:00,0,20250219
2025-02-27 04:00:00,0,20250219
2025-02-27 05:00:00,60,20250219
2025-02-27 06:00:00,204,20250219
2025-02-27 07:00:00,319,20250219
2025-02-27 08:00:00,325,20250219
2025-02-27 09:00:00,267,20250219
2025-02-27 10:00:00,266,20250219
2025-02-27 11:00:00,261,20250219
2025-02-27 12:00:00,263,20250219
2025-02-27 13:00:00,266,20250219
2025-02-27 14:00:00,270,20250219
2025-02-27 15:00:00,265,20250219
2025-02-27 16:00:00,283,20250219
2025-02-27 17:00:00,338,20250219
2025-02-27 18:00:00,320,20250219
2025-02-27 19:00:00,280,20250219
2025-02-27 20:00:00,258,20250219
2025-02-27 21:00:00,236,20250219
2025-02-27 22:00:00,202,20250219
2025-02-27 23:00:00,135,20250219
2025-02-28 00:00:00,43,20250219
2025-02-28 01:00:00,6,20250219
2025-02-28 02:00:00,0,20250219
2025-02-28 03:00:00,0,20250219
2025-02-28 04:00:00,0,20250219
2025-02-28 05:00:00,0,20250219
2025-02-28 06:00:00,0,20250219
2025-02-28 07:00:00,0,20250219
2025-02-28 08:00:00,0,20250219
2025-02-28 09:00:00,1,20250219
2025-02-28 10:00:00,0,20250219
2025-02-20 00:00:00,0,20250220
2025-02-20 01:00:00,1,20250220
2025-02-20 02:00:00,0,20250220
2025-02-20 03:00:00,0,20250220
2025-02-20 04:00:00,0,20250220
2025-02-20 05:00:00,60,20250220
2025-02-20 06:00:00,204,20250220
2025-02-20 07:00:00,318,20250220
2025-02-20 08:00:00,325,20250220
2025-02-20 09:00:00,270,20250220
2025-02-20 10:00:00,270,20250220
2025-02-20 11:00:00,270,20250220
2025-02-20 12:00:00,267,20250220
2025-02-20 13:00:00,269,20250220
2025-02-20 14:00:00,273,20250220
2025-02-20 15:00:00,270,20250220
2025-02-20 16:00:00,286,20250220
2025-02-20 17:00:00,336,20250220
2025-02-20 18:00:00,322,20250220
2025-02-20 19:00:00,282,20250220
2025-02-20 20:00:00,261,20250220
2025-02-20 21:00:00,239,20250220
2025-02-20 22:00:00,204,20250220
2025-02-20 23:00:00,135,20250220
2025-02-21 00:00:00,44,20250220
2025-02-21 01:00:00,6,20250220
2025-02-21 02:00:00,0,20250220
2025-02-21 03:00:00,0,20250220
2025-02-21 04:00:00,0,20250220
2025-02-21 05:00:00,60,20250220
2025-02-21 06:00:00,204,20250220
2025-02-21 07:00:00,319,20250220
2025-02-21 08:00:00,326,20250220
2025-02-21 09:00:00,271,20250220
2025-02-21 10:00:00,271,20250220
2025-02-21 11:00:00,270,20250220
2025-02-21 12:00:00,268,20250220
2025-02-21 13:00:00,270,20250220
2025-02-21 14:00:00,273,20250220
2025-02-21 15:00:00,270,20250220
2025-02-21 16:00:00,288,20250220
2025-02-21 17:00:00,336,20250220
2025-02-21 18:00:00,321,20250220
2025-02-21 19:00:00,282,20250220
2025-02-21 20:00:00,262,20250220
2025-02-21 21:00:00,239,20250220
2025-02-21 22:00:00,191,20250220
2025-02-21 23:00:00,113,20250220
2025-02-22 00:00:00,30,20250220
2025-02-22 01:00:00,1,20250220
2025-02-22 02:00:00,0,20250220
2025-02-22 03:00:00,0,20250220
2025-02-22 04:00:00,0,20250220
2025-02-22 05:00:00,7,20250220
2025-02-22 06:00:00,24,20250220
2025-02-22 07:00:00,84,20250220
2025-02-22 08:00:00,108,20250220
2025-02-22 09:00:00,124,20250220
2025-02-22 10:00:00,117,20250220
2025-02-22 11:00:00,116,20250220
2025-02-22 12:00:00,100,20250220
2025-02-22 13:00:00,79,20250220
2025-02-22 14:00:00,68,20250220
2025-02-22 15:00:00,83,20250220
2025-02-22 16:00:00,94,20250220
2025-02-22 17:00:00,113,20250220
2025-02-22 18:00:00,116,20250220
2025-02-22 19:00:00,127,20250220
2025-02-22 20:00:00,114,20250220
2025-02-22 21:00:00,109,20250220
2025-02-22 22:00:00,66,20250220
2025-02-22 23:00:00,37,20250220
2025-02-23 00:00:00,11,20250220
2025-02-23 01:00:00,0,20250220
2025-02-23 02:00:00,0,20250220
2025-02-23 03:00:00,0,20250220
2025-02-23 04:00:00,0,20250220
2025-02-23 05:00:00,7,20250220
2025-02-23 06:00:00,25,20250220
2025-02-23 07:00:00,92,20250220
2025-02-23 08:00:00,119,20250220
2025-02-23 09:00:00,139,20250220
2025-02-23 10:00:00,130,20250220
2025-02-23 11:00:00,126,20250220
2025-02-23 12:00:00,113,20250220
2025-02-23 13:00:00,91,20250220
2025-02-23 14:00:00,76,20250220
2025-02-23 15:00:00,87,20250220
2025-02-23 16:00:00,106,20250220
2025-02-23 17:00:00,126,20250220
2025-02-23 18:00:00,128,20250220
2025-02-23 19:00:00,137,20250220
2025-02-23 20:00:00,128,20250220
2025-02-23 21:00:00,125,20250220
2025-02-23 22:00:00,78,20250220
2025-02-23 23:00:00,45,20250220
2025-02-24 00:00:00,12,20250220
2025-02-24 01:00:00,0,20250220
2025-02-24 02:00:00,0,20250220
2025-02-24 03:00:00,0,20250220
2025-02-24 04:00:00,0,20250220
2025-02-24 05:00:00,20,20250220
2025-02-24 06:00:00,122,20250220
2025-02-24 07:00:00,199,20250220
2025-02-24 08:00:00,218,20250220
2025-02-24 09:00:00,200,20250220
2025-02-24 10:00:00,180,20250220
2025-02-24 11:00:00,155,20250220
2025-02-24 12:00:00,131,20250220
2025-02-24 13:00:00,109,20250220
2025-02-24 14:00:00,114,20250220
2025-02-24 15:00:00,140,20250220
2025-02-24 16:00:00,184,20250220
2025-02-24 17:00:00,206,20250220
2025-02-24 18:00:00,204,20250220
2025-02-24 19:00:00,187,20250220
2025-02-24 20:00:00,169,20250220
2025-02-24 21:00:00,124,20250220
2025-02-24 22:00:00,81,20250220
2025-02-24 23:00:00,41,20250220
2025-02-25 00:00:00,14,20250220
2025-02-25 01:00:00,4,20250220
2025-02-25 02:00:00,0,20250220
2025-02-25 03:00:00,0,20250220
2025-02-25 04:00:00,0,20250220
2025-02-25 05:00:00,21,20250220
2025-02-25 06:00:00,122,20250220
2025-02-25 07:00:00,199,20250220
2025-02-25 08:00:00,218,20250220
2025-02-25 09:00:00,199,20250220
2025-02-25 10:00:00,179,20250220
2025-02-25 11:00:00,153,20250220
2025-02-25 12:00:00,128,20250220
2025-02-25 13:00:00,108,20250220
2025-02-25 14:00:00,113,20250220
2025-02-25 15:00:00,140,20250220
2025-02-25 16:00:00,184,20250220
2025-02-25 17:00:00,206,20250220
2025-02-25 18:00:00,204,20250220
2025-02-25 19:00:00,187,20250220
2025-02-25 20:00:00,168,20250220
2025-02-25 21:00:00,124,20250220
2025-02-25 22:00:00,81,20250220
2025-02-25 23:00:00,41,20250220
2025-02-26 00:00:00,14,20250220
2025-02-26 01:00:00,4,20250220
2025-02-26 02:00:00,0,20250220
2025-02-26 03:00:00,0,20250220
2025-02-26 04:00:00,0,20250220
2025-02-26 05:00:00,21,20250220
2025-02-26 06:00:00,121,20250220
2025-02-26 07:00:00,198,20250220
2025-02-26 08:00:00,216,20250220
2025-02-26 09:00:00,198,20250220
2025-02-26 10:00:00,179,20250220
